route_id,route_short_name,route_long_name,direction,headway_minutes,total_trips,trip_id,trip_start_time,stop_order,stop_name,arrival_time,departure_time
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,16,MCI Model School,16:45:00,16:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,1,Nust Metro Station,17:00:00,17:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,2,NPA Stop,17:04:40,17:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,3,Islamic University,17:07:20,17:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,4,FAST University,17:10:20,17:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,5,PAEC General Hospital,17:13:00,17:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,6,IMC Hospital,17:15:05,17:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,7,Metro CNC,17:17:45,17:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,8,Sabzi Mandi,17:19:25,17:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,9,Mandi Morh,17:22:15,17:22:35
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,10,Kurang Road Stop,17:24:00,17:24:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,11,IESCO,17:26:00,17:26:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,12,PTCL I-10,17:27:50,17:28:10
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,13,Sui Gas Stop,17:29:35,17:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,14,OGTI Stop,17:35:25,17:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,15,CDA Complain Center,17:39:35,17:39:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176075-0,17:00:00,16,MCI Model School,17:45:00,17:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,1,Nust Metro Station,18:00:00,18:00:00
